County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,Other_PCT,Other_NUM,Margin_PCT,Margin_NUM
Alpine,82.14,69,17.86,15,0.00,0,64.29,54
Humboldt,66.32,3902,28.86,1698,4.83,284,37.46,2204
Alameda,64.64,14324,30.13,6677,5.23,1158,34.51,7647
Riverside,61.14,2329,29.77,1134,9.08,346,31.37,1195
Marin,63.58,1681,34.19,904,2.23,59,29.39,777
San_Mateo,63.00,1645,35.01,914,1.99,52,28.00,731
Lassen,58.10,549,34.50,326,7.41,70,23.60,223
Sierra,60.99,702,37.88,436,1.13,13,23.11,266
Santa_Clara,58.25,7107,37.76,4607,3.98,486,20.49,2500
Plumas,58.45,640,40.37,442,1.19,13,18.08,198
Los_Angeles,55.10,19200,37.76,13158,7.15,2490,17.34,6042
Napa,56.71,2017,40.26,1432,3.04,108,16.45,585
Contra_Costa,57.02,2165,40.80,1549,2.19,83,16.22,616
San_Diego,54.91,3800,38.69,2678,6.40,443,16.21,1122
San_Francisco,55.71,35208,39.89,25212,4.40,2782,15.82,9996
Nevada,55.91,2449,40.14,1758,3.95,173,15.78,691
Solano,55.36,3114,40.21,2262,4.43,249,15.15,852
Santa_Cruz,53.19,2173,40.02,1635,6.78,277,13.17,538
San_Bernardino,52.15,3135,39.05,2347,8.80,529,13.11,788
Sutter,54.93,819,43.06,642,2.01,30,11.87,177
Ventura,53.54,1708,41.79,1333,4.67,149,11.76,375
Sacramento,54.78,5506,43.03,4325,2.19,220,11.75,1181
Placer,54.64,2009,43.30,1592,2.07,76,11.34,417
Sonoma,54.04,4381,43.38,3517,2.58,209,10.66,864
Calaveras,54.59,1600,43.94,1288,1.47,43,10.64,312
Santa_Barbara,52.58,1988,42.29,1599,5.13,194,10.29,389
Yuba,54.08,1179,44.54,971,1.38,30,9.54,208
Orange,51.24,2155,42.25,1777,6.51,274,8.99,378
Mendocino,53.15,2192,45.13,1861,1.72,71,8.03,331
Kings,51.76,1032,43.73,872,4.51,90,8.02,160
Butte,52.55,2322,45.51,2011,1.95,86,7.04,311
San_Joaquin,52.01,3318,45.04,2873,2.95,188,6.98,445
Del_Norte,51.78,334,45.12,291,3.10,20,6.67,43
Amador,52.64,1384,45.99,1209,1.37,36,6.66,175
Siskiyou,52.36,1898,46.01,1668,1.63,59,6.34,230
Trinity,52.36,544,46.68,485,0.96,10,5.68,59
Mono,52.11,284,47.34,258,0.55,3,4.77,26
Monterey,50.10,1964,46.56,1825,3.34,131,3.55,139
Tehama,50.35,1210,47.36,1138,2.29,55,3.00,72
Madera,49.58,764,47.83,737,2.60,40,1.75,27
Fresno,47.34,3585,47.41,3590,5.26,398,-0.07,-5
San_Benito,46.71,724,50.71,786,2.58,40,-4.00,-62
San_Luis_Obispo,45.81,1564,50.18,1713,4.01,137,-4.36,-149
Yolo,45.81,1510,51.18,1687,3.00,99,-5.37,-177
Shasta,44.70,1681,51.79,1948,3.51,132,-7.10,-267
Kern,45.17,1692,52.32,1960,2.51,94,-7.15,-268
Tuolumne,45.09,1309,52.70,1530,2.20,64,-7.61,-221
El_Dorado,45.14,1193,53.20,1406,1.66,44,-8.06,-213
Modoc,44.78,446,53.41,532,1.81,18,-8.63,-86
Stanislaus,43.81,1058,52.59,1270,3.60,87,-8.78,-212
Lake,41.45,584,52.95,746,5.61,79,-11.50,-162
Tulare,41.41,1755,53.00,2246,5.59,237,-11.59,-491
Inyo,42.35,396,54.01,505,3.64,34,-11.66,-109
Merced,41.59,811,55.44,1081,2.97,58,-13.85,-270
Mariposa,40.79,505,57.92,717,1.29,16,-17.12,-212
Glenn,39.49,494,58.91,737,1.60,20,-19.42,-243
Colusa,35.98,648,59.69,1075,4.33,78,-23.71,-427
